phone,customer_id,type
395-516-1576,994cd3ba-16a0-417a-922f-02ae4391787a,Home
605-931-2501,6887e890-e0b2-440c-a548-ddc5e33278ab,Cell
271-157-1880,4fa057df-0af0-4dac-b0ba-0e5edaed630f,Home
253-714-6576,3596476a-07c3-41dd-9f5d-1bb60d3e1d54,Cell
326-231-2292,95205116-5318-4822-934b-538ab84c80d0,Cell
470-752-2534,776a9b7a-55bd-4e31-b2ef-3b442fb726a1,Cell
955-443-8359,90a4999d-bcc3-4d1b-b3f2-009eeb043172,Home
263-292-3653,fb571cf4-7c9e-4395-8960-ab8d3ddc2c88,Cell
293-812-4349,979a24ea-20e8-4c22-a2e3-d79ac308d09c,Home
263-272-5142,f3e61e5c-5bcf-4251-b66e-fe4c6d8632b6,Home
500-579-0792,b1f63253-2f5b-4ace-bcdd-7664c00137b6,Home
204-435-9362,d94b64cb-eb3e-41ed-8d64-38b948a4eaba,Business
308-220-2739,d94b64cb-eb3e-41ed-8d64-38b948a4eaba,Cell
273-747-7720,ee3e4c28-2066-480a-be9a-c5f63d528357,Cell
819-211-5796,769b33a3-28eb-47f5-b81b-20df4fe41435,Cell
324-449-0312,2f5e1d9f-4e54-41d5-89cc-3e42318c324f,Home
282-669-1461,995fe4c3-6f9d-40b1-bc05-122dd962ce42,Business
983-138-1529,2e90bf2f-c4fc-4452-8d2d-b9999bc27585,Home
169-940-8320,134fc756-318f-4262-9c1a-e7bbb6ea3036,Home
904-363-8273,2e4b56c2-f65b-437b-8fe9-3ba1353e2b98,Cell
365-615-4663,2e4b56c2-f65b-437b-8fe9-3ba1353e2b98,Cell
685-693-2640,5ae2f41a-e69b-4408-aeeb-9bb71ab94d49,Home
337-664-3409,9758c27c-f8d7-4e4a-8d98-aad8cd36048d,Home
538-289-4177,e5b0bbb5-67e1-4010-af08-61074a6162ee,Home
368-314-4763,47876efe-d8db-424f-a841-e6522173d02c,Home
399-977-4710,33f4f1d9-1003-45a3-b131-f3e14f4b96b3,Cell
427-817-6899,e1565084-f7d6-4e17-a535-e0cc171de1d4,Business
